question,options,correct_answer,model_response,predicted_option,is_correct
"A 26-year-old man with no significant past medical history presents to the ED following a motor vehicle accident. Vital signs on presentation are T 99.0 F, BP 100/60 mmHg, HR 125 bpm, RR 16/min, SpO2 98% on room air. He complains of extreme abdominal pain worse in the left upper quadrant which has worsened over the past 30 minutes. Exam demonstrates abdominal wall rigidity, involuntary guarding, and tenderness on light percussion. Bedside sonography shows evidence for hemoperitoneum. Despite administering more intravenous fluids, repeat vitals are T 98.9 F, BP 82/50 mm hg, HR 180 bpm, RR 20/min, SpO2 97% on room air. Which of the following is the best next step?","{'A': 'Normal saline bolus and re-evaluation of hemodynamics after infusion', 'B': 'CT abdomen and pelvis', 'C': 'Morphine', 'D': 'Abdominal plain film', 'E': 'Exploratory laparotomy'}",E,The best next step in this case would be option B) CT abdomen and pelvis.,B,False
"A 56-year-old man presents to the clinic complaining of subacute back pain for the past month. The pain is described as a dull, constant ache that is worse at night. He could not recall any precipitating event except for an amateur weight-lifting competition that he participated in 2 months ago. Past medical history is significant for non-small cell lung cancer that was diagnosed and successfully treated. A PET scan 1 year ago demonstrated no recurrence. Physical exam was unremarkable except for some point tenderness along the lumbosacral area. What is the most likely imaging finding in this patient?","{'A': 'Blastic lesions of the lumbar spine', 'B': 'Bulging disc impinging on lumbar spinal nerve', 'C': 'Lytic lesions of the lumbar spine', 'D': 'Narrowing of the lumbar disc space', 'E': 'Sacroilitis and fusion of the lumbar spine'}",C,"The patient's presentation of subacute back pain, point tenderness along the lumbosacral area, and the absence of any recent precipitating event suggests a possible diagnosis of lumbar spinal stenosis. The most likely imaging finding in this patient would be D) Narrowing of the lumbar disc space, which is a characteristic finding in lumbar spinal stenosis.",D,False
"A 22-year-old female college student is treated with metronidazole after presenting to student health services with itching, discharge, and pain in her vagina. At a party shortly afterward she experiences facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps after consuming alcohol. Serum levels of which of the following are likely elevated in this patient following alcohol consumption:","{'A': 'Acetaldehyde', 'B': 'Uric acid', 'C': 'Cytochrome P-450 enzymes', 'D': 'Triglycerides', 'E': 'Amylase'}",A,"The correct answer is C) Cytochrome P-450 enzymes.

Metronidazole is a medication that is known to inhibit the activity of cytochrome P-450 enzymes. Alcohol is metabolized by these enzymes, and when they are inhibited, it can lead to elevated levels of alcohol in the bloodstream. This can result in symptoms such as facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps.",C,False
"A stillborn infant is delivered at 38 weeks' gestation to a 32-year-old woman. The mother had no prenatal care. Examination of the stillborn shows a small pelvis, shallow intergluteal cleft, and club feet. An x-ray shows the absence of the sacrum and lumbar vertebrae. Which of the following is the strongest predisposing factor for this patient's condition?","{'A': 'Maternal oligohydramnios', 'B': 'Intrauterine alcohol exposure', 'C': 'Chromosome 13 trisomy', 'D': 'Maternal diabetes', 'E': 'Chromosome 18 trisomy'}",D,The strongest predisposing factor for this patient's condition is option A) Maternal oligohydramnios.,A,False
"A 52-year-old man is brought to the emergency department for recurrent vomiting that began 5 hours ago. He describes the vomitus as bloody and containing black specks. He drinks 10–12 beers daily and has not seen a physician in 15 years. He appears pale. His temperature is 36.7°C (98.1°F), pulse is 122/min, and blood pressure is 85/59 mm Hg. Physical examination shows decreased radial pulses, delayed capillary refill, multiple spider angiomata, and a distended abdomen. He is oriented to person but not to place or time. Which of the following is most likely decreased in this patient in response to his current condition compared to a healthy adult?","{'A': 'Systemic vascular resistance', 'B': 'Fractional tissue oxygen extraction', 'C': 'Carotid baroreceptor firing activity', 'D': 'Pulmonary vascular resistance', 'E': 'Cardiac inotropy'}",C,"The patient's presentation is suggestive of a condition known as alcoholic liver disease. In this condition, the liver is damaged due to chronic alcohol consumption. The decreased radial pulses, delayed capillary refill, multiple spider angiomata, and distended abdomen are all consistent with liver disease.

Given the patient's history of heavy alcohol consumption and the presence of liver disease, the most likely decreased parameter in response to his current condition compared to a healthy adult is:

A. Systemic vascular resistance

In liver disease, there is impaired blood flow through the liver, leading to increased resistance to blood flow throughout the body. This can result in decreased systemic vascular resistance.",A,False
"A 14-year-old boy presents with right upper quadrant abdominal pain and is found on ultrasound to have a gallstone. Based on clinical suspicion, a CBC, a Coombs test, and a bilirubin panel are obtained to determine the etiology of the gallstone. These tests reveal a mild normocytic anemia with associated reticulocytosis as well as an increased RDW. In addition there is an indirect hyperbilirubinemia and the Coombs test results are negative. To confirm the diagnosis, an osmotic fragility test is performed which shows increased fragility in hypotonic solution. In this patient, what findings would most likely be anticipated if a blood smear were obtained?","{'A': 'Hypersegmented neutrophils', 'B': 'Schistocytes', 'C': 'Sideroblasts', 'D': 'Spherocytes', 'E': 'Dacrocytes'}",D,"The patient in this scenario is presenting with right upper quadrant abdominal pain and a gallstone. The clinical suspicion leads to obtaining various laboratory tests, including a CBC, Coombs test, bilirubin panel, and osmotic fragility test. The findings from these tests are as follows:

- Mild normocytic anemia with associated reticulocytosis
- Increased RDW (Red Blood Cell Distribution Width)
- Indirect hyperbilirubinemia
- Negative Coombs test
- Increased fragility in hypotonic solution on osmotic fragility test

Based on these findings, the most likely finding on a blood smear would be:

A. Hypersegmented neutrophils

Hypersegmented neutrophils are a characteristic finding in hemolytic anemia. In this case, the mild normocytic anemia with associated reticulocytosis suggests ongoing red blood cell breakdown. The increased RDW indicates that there is variation in the size and shape of the red blood cells, which can be seen on a blood smear as hypersegmented neutrophils.

Therefore, the answer is A) Hypersegmented neutrophils.",A,False
"A 34-year-old woman presents to the plastic surgery office 3 months following a rhinoplasty procedure. The patient has been recovering well. However, she has noticed a small whistling noise when she respires through her nose, which you appreciate on physical exam. Which of the following is the most likely cause of this phenomenon?","{'A': 'Post-operative swelling', 'B': 'A septal hematoma causing a perforation', 'C': 'A deviated septum that is now straight, resulting in altered nasal airflow', 'D': 'Excessive columellar show resulting in increased nasal airflow', 'E': 'A fracture of the bony septum'}",B,"The most likely cause of the whistling noise in the patient's nose after rhinoplasty is option C) A deviated septum that is now straight, resulting in altered nasal airflow.",C,False
"Background:
Some patients with severe asthma have frequent exacerbations associated with persistent eosinophilic inflammation despite continuous treatment with high-dose inhaled glucocorticoids with or without oral glucocorticoids.
Methods:
In this randomized, double-blind clinical trial we assigned 576 patients with recurrent asthma exacerbations and evidence of eosinophilic inflammation despite high doses of inhaled glucocorticoids to one of three study groups. Patients were assigned to receive mepolizumab, a humanized monoclonal antibody against interleukin-5, which was administered as either a 75-mg intravenous dose or a 100-mg subcutaneous dose or placebo every 4 weeks for 32 weeks. The primary outcome was the rate of exacerbations. Other outcomes included the forced expiratory volume in 1 second (FEV1) and scores on the St. George’s Respiratory Questionnaire (SGRQ) and the 5-item Asthma Control Questionnaire (ACQ-5).
Results:
The rate of exacerbations was reduced by 47% (95% confidence interval [CI], 29 to 61) among patients receiving intravenous mepolizumab and by 53% (95% CI, 37 to 65) among those receiving subcutaneous mepolizumab, as compared with those receiving placebo (p<0.001 for both comparisons). Exacerbations necessitating an emergency department visit or hospitalization were reduced by 32% in the group receiving intravenous mepolizumab and by 61% in the group receiving subcutaneous mepolizumab. At week 32, the mean increase from baseline in FEV1 was 100 ml greater in patients receiving intravenous mepolizumab than in those receiving placebo (p=0.02) and 98 ml greater in patients receiving subcutaneous mepolizumab than in those receiving placebo (p=0.03). The improvement from baseline in the SGRQ score was 6.4 points and 7.0 points greater in the intravenous and subcutaneous mepolizumab groups, respectively than in the placebo group, and the improvement in the ACQ-5 score was 0.42 points and 0.44 points greater in the two mepolizumab groups, respectively than in the placebo group (p<0.001 for all comparisons).
Conclusions:
Mepolizumab administered either intravenously or subcutaneously significantly reduced asthma exacerbations and was associated with improvements in markers of asthma control.
Given the original research abstract above, which of the following would be true if the authors had inadvertently encountered a type 1 error?","{'A': 'A type 1 error means the study is not significantly powered to detect a true difference between study groups.', 'B': 'A type 1 error occurs when the null hypothesis is true but is rejected in error.', 'C': 'A type 1 error occurs when the null hypothesis is false, yet is accepted in error.', 'D': 'A type 1 error is a beta (β) error and is usually 0.1 or 0.2.', 'E': 'A type 1 error is dependent on the confidence interval of a study.'}",B,The correct answer is B) A type 1 error occurs when the null hypothesis is true but is rejected in error.,B,True
"A 61-year-old man with schizophrenia in a locked inpatient psychiatry unit was observed making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively. These symptoms started slowly about 2 weeks ago and have become more pronounced, but they do not seem to bother the patient. He resides in an inpatient psychiatric facility where he has been successfully treated with haloperidol for the past several months. His physical exam and vitals are within normal limits. Which of the following accurately describes his symptoms?","{'A': 'Akathisia', 'B': 'Tardive dyskinesia', 'C': 'Acute dystonia', 'D': 'Pseudoparkinsonism', 'E': 'Palsy'}",B,"The patient's symptoms of making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively are consistent with pseudoparkinsonism. Therefore, the correct answer is D) Pseudoparkinsonism.",D,False
A 21-month-old boy is brought to the physician for a well-child examination. His mother noticed deformities in both of his legs since he started walking independently. He has been healthy apart from an upper respiratory tract infection 6 months ago. He was delivered at 38 weeks' gestation. His 6-year-old sister was treated for developmental dysplasia of the hip. He can kick a ball and say a 2-word phrase. He plays well with other children at his day care. His immunizations are up-to-date. He is at the 40th percentile for height and 50th percentile for weight. Vital signs are within normal limits. Examination shows closed anterior and posterior fontanelles. The knees do not stay together when both the feet and ankles are placed together. The gait is unremarkable. The mother is concerned that he has a growth disorder. Which of the following is the most appropriate next step in management?,"{'A': 'Vitamin D supplementation', 'B': 'Reassurance and follow-up', 'C': 'X-ray of the lower extremities', 'D': 'Bracing of the lower extremities', 'E': 'Tibial osteotomy'}",B,"The most appropriate next step in management for this 21-month-old boy with deformities in both legs since he started walking independently, is:

C. X-ray of the lower extremities",C,False
A 60-year-old female patient with a history of hypertension presents to an outpatient office for regular check-up and is found to have hypertriglyceridemia. Her physician prescribes high-dose niacin and recommends taking the medication along with aspirin. The side effect the physician is trying to avoid is thought to be mediated by what mechanism?,"{'A': 'Bile deposition in the dermis', 'B': 'Immune complex formation', 'C': 'Release of prostaglandins', 'D': 'Mast cell degranulation', 'E': 'T cell activation'}",C,"The physician is trying to avoid the side effect of high-dose niacin, which is thought to be mediated by the mechanism of B) Immune complex formation.",B,False
"A 74-year-old woman with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to her primary care doctor by her son who is concerned about the patient's ability to manage her activities of daily living. She has been living alone since her husband passed away 2 years ago. She has remained an active member of her retirement community's wine club; however, she stopped attending the meetings 3 weeks ago. She is generally able to her maintain her house, but her house appears more disorganized over the past 2 weeks. She generally drives short distances but avoids driving long distances as she occasionally gets lost when navigating new areas. She feels like her balance is getting worse, but she has not fallen. She has noticed increased urinary urgency over the past 8 months and has had 2 episodes of incontinence. Despite these changes, she reports feeling well. She drinks 4-6 glasses of wine per day. She was started on multiple medications for worsening anxiety by her psychiatrist 1 month ago. Her BMI is 31 kg/m^2. Her temperature is 99.8°F (37.7°C), blood pressure is 115/65 mmHg, pulse is 95/min, and respirations are 17/min. On examination, she is oriented to person and time but not place or situation. She does not seem to recognize her doctor despite knowing him for many years. She becomes somnolent intermittently throughout the interview. She can recall 0/3 words after 5 minutes. She has a low-frequency tremor in her right arm that increases in severity with deliberate movement. Which of the following is the most likely diagnosis in this patient?","{'A': 'Alzheimer dementia', 'B': 'Delirium', 'C': 'Lewy body dementia', 'D': 'Normal pressure hydrocephalus', 'E': 'Pseudodementia'}",B,"The patient's symptoms of increased urinary urgency, incontinence, disorganization of activities of daily living, cognitive decline, and somnolence are suggestive of a neurodegenerative disorder. The low-frequency tremor in her right arm that increases in severity with deliberate movement is also concerning. Given her history of hypertension, hyperlipidemia, and type 2 diabetes mellitus, the most likely diagnosis in this patient is C) Lewy body dementia.",C,False
"A 58-year-old male presents with an acutely elevated blood pressure of 220/140 mmHg. The patient complains of a headache and chest pain, and he has been vomiting for the last several hours. Physical exam demonstrates papilledema and a depressed level of consciousness. To treat this patient's hypertensive emergency, he is started on an IV medication commonly used in this situation. The agent exerts its effect by releasing nitric oxide as a metabolite, which subsequently activates guanylate cyclase and increases production of cGMP in vascular smooth muscle. Which of the following clinical effects would be expected from administration of this medication?","{'A': 'Decreased cardiac contractility', 'B': 'Increased left ventricular end-diastolic pressure', 'C': 'Decreased stroke volume', 'D': 'Decreased pulmonary capillary wedge pressure', 'E': 'Increased systemic vascular resistance'}",D,"The medication that is started on the patient to treat his hypertensive emergency works by releasing nitric oxide as a metabolite, which subsequently activates guanylate cyclase and increases production of cGMP in vascular smooth muscle. Based on this mechanism of action, the clinical effect that would be expected from administration of this medication is:

A. Decreased cardiac contractility

Nitric oxide-mediated activation of guanylate cyclase leads to increased levels of cGMP, which results in relaxation of smooth muscle in blood vessels. This leads to vasodilation and a decrease in systemic vascular resistance. As a result, there is a decrease in cardiac workload and oxygen demand, resulting in decreased cardiac contractility. Therefore, the correct answer is A) Decreased cardiac contractility.",A,False
"A 63-year-old man is aiming to improve his health by eating a well balanced diet, walking daily, and quitting smoking following a 45-year smoking history. While on his daily walks he notices a strong cramping pain in his calves that consistently appears after a mile of walking. He sees his physician and a diagnosis of peripheral artery disease with intermittent claudication is made. To improve his symptoms, cilostazol is prescribed. What is the mechanism of action of this medication?","{'A': 'Irreversible cyclooxygenase inhibitor', 'B': 'Glycoprotein IIB/IIIA inhibitor', 'C': 'Thromboxane synthase inhibitor', 'D': 'Adenosine diphosphate receptor inhibitor', 'E': 'Phosphodiesterase inhibitor'}",E,"The mechanism of action of cilostazol, which is prescribed to improve symptoms of peripheral artery disease with intermittent claudication, is that it inhibits adenosine diphosphate receptors. Therefore, the correct answer is D) Adenosine diphosphate receptor inhibitor.",D,False
"A 69-year-old man presents to his primary care physician with hip and back pain. The patient states that this weekend he had a barbecue. When he was lifting a heavy object he suddenly felt pain in his lower back. He describes the pain as in his buttocks but states that at times it travels down his leg. The patient states that it feels, ""electrical."" The patient has a past medical history of obesity, diabetes, depression, anxiety, diverticulosis, constipation, and a surgical repair of his anterior cruciate ligament. His current medications include metformin, insulin, lisinopril, fluoxetine, and sodium docusate. Which of the following is most likely to help confirm the diagnosis?","{'A': 'Palpating the paraspinus muscle', 'B': 'Flexion, abduction, and external rotation of the thigh', 'C': 'Straight leg raise', 'D': 'Internal rotation of the extended hip', 'E': 'Radiography'}",C,"The patient's presentation of hip and back pain, with radiation down the leg, suggests a possible diagnosis of sciatica. To confirm the diagnosis, the most appropriate test would be a straight leg raise. This maneuver helps assess for hip flexion contractures or tightness in the piriformis muscle, which can cause sciatic nerve compression and result in pain radiating down the leg. Therefore, the answer is C) Straight leg raise.",C,True
"A 35-year-old woman comes to the physician for genetic counseling prior to conception. Her younger brother has mild developmental delay, pale complexion, and has to limit his dietary intake of phenylalanine. She has no similar symptoms and is in good health. Her parents are healthy. Which of the following is the most appropriate assessment of her carrier status for the disease affecting her brother?","{'A': '67%', 'B': '33%', 'C': '100%', 'D': '75%', 'E': '50%'}",A,"The most appropriate assessment of the woman's carrier status for the disease affecting her brother would be option C) 100%. This is because her brother has been diagnosed with phenylketonuria (PKU), which is an autosomal recessive genetic disorder. Since the woman has no similar symptoms and is in good health, it can be assumed that she does not have the disease. However, she is a carrier for PKU since her brother does have the disease. Therefore, the woman has a 100% chance of being a carrier for PKU.",C,False
"A 25-year-old man is brought to the emergency department after being found unconscious. He was at a college party exhibiting belligerent behavior when he suddenly passed out and fell to the ground. His past medical history is not known. His temperature is 100°F (37.8°C), blood pressure is 107/48 mmHg, pulse is 125/min, respirations are 19/min, and oxygen saturation is 99% on room air. The patient is covered with emesis and responds incoherently to questions. As the patient begins to wake up he continues vomiting. The patient is started on IV fluids, analgesics, and anti-emetics and begins to feel better. Thirty minutes later the patient presents with muscle rigidity and is no longer responding coherently to questions. His temperature is 103°F (39.4°C), blood pressure is 127/68 mmHg, pulse is 125/min, respirations are 18/min, and oxygen saturation is 98% on room air. The patient's basic laboratory studies are drawn and he is started on IV fluids, given lorazepam, and placed under a cooling blanket. Despite these initial measures, his symptoms persist. Which of the following is the best next step in management?","{'A': 'Acetaminophen', 'B': 'Dantrolene', 'C': 'Diazepam', 'D': 'Intubation', 'E': 'Supportive therapy'}",B,"The patient's presentation with muscle rigidity and inability to respond coherently suggests a case of malignant hyperthermia, which is a potentially life-threatening reaction to certain medications used during surgery or in the intensive care unit. The mainstay of treatment for malignant hyperthermia is immediate discontinuation of the triggering agent and initiation of cooling measures.

The best next step in management for this patient would be to intubate and provide assisted ventilation (Option D). This is necessary to ensure adequate oxygenation and ventilation, as the patient may be unable to protect their airway due to muscle rigidity. Additionally, intubation allows for the administration of antidotes such as dantrolene, which is used to treat malignant hyperthermia.

Therefore, the answer is D) Intubation.",D,False
