question,options,correct_answer,model_response,predicted_option,is_correct
"A 26-year-old man with no significant past medical history presents to the ED following a motor vehicle accident. Vital signs on presentation are T 99.0 F, BP 100/60 mmHg, HR 125 bpm, RR 16/min, SpO2 98% on room air. He complains of extreme abdominal pain worse in the left upper quadrant which has worsened over the past 30 minutes. Exam demonstrates abdominal wall rigidity, involuntary guarding, and tenderness on light percussion. Bedside sonography shows evidence for hemoperitoneum. Despite administering more intravenous fluids, repeat vitals are T 98.9 F, BP 82/50 mm hg, HR 180 bpm, RR 20/min, SpO2 97% on room air. Which of the following is the best next step?","{'A': 'Normal saline bolus and re-evaluation of hemodynamics after infusion', 'B': 'CT abdomen and pelvis', 'C': 'Morphine', 'D': 'Abdominal plain film', 'E': 'Exploratory laparotomy'}",E,"The patient presents with signs of hypotension (BP 100/60 mmHg), tachycardia (HR 125 bpm), and extreme abdominal pain localized to the left upper quadrant, along with abdominal wall rigidity, involuntary guarding, and tenderness on light percussion. These findings are suggestive of an acute abdomen, likely due to intra-abdominal bleeding given the evidence of hemoperitoneum on bedside sonography. Despite fluid resuscitation, the patient's condition is deteriorating, as evidenced by worsening hypotension (BP 82/50 mmHg) and tachycardia (HR 180 bpm). This indicates ongoing hemorrhage and hemodynamic instability, which necessitates immediate surgical intervention to identify and control the source of bleeding. Therefore, the best next step is E) Exploratory laparotomy.",B,False
"A 56-year-old man presents to the clinic complaining of subacute back pain for the past month. The pain is described as a dull, constant ache that is worse at night. He could not recall any precipitating event except for an amateur weight-lifting competition that he participated in 2 months ago. Past medical history is significant for non-small cell lung cancer that was diagnosed and successfully treated. A PET scan 1 year ago demonstrated no recurrence. Physical exam was unremarkable except for some point tenderness along the lumbosacral area. What is the most likely imaging finding in this patient?","{'A': 'Blastic lesions of the lumbar spine', 'B': 'Bulging disc impinging on lumbar spinal nerve', 'C': 'Lytic lesions of the lumbar spine', 'D': 'Narrowing of the lumbar disc space', 'E': 'Sacroilitis and fusion of the lumbar spine'}",C,"The patient's history of non-small cell lung cancer, which was successfully treated, is significant. The fact that a PET scan 1 year ago demonstrated no recurrence is also important. The patient's complaint of subacute back pain that is worse at night and the point tenderness along the lumbosacral area on physical exam are clues to the possible cause of his back pain.

Given the patient's history of lung cancer, the most likely cause of his back pain would be metastasis to the bone. Blastic lesions are more common in lung cancer metastasis to the spine compared to lytic lesions. Therefore, the most likely imaging finding would be blastic lesions of the lumbar spine.

Therefore, the answer is A) Blastic lesions of the lumbar spine.",A,False
"A 22-year-old female college student is treated with metronidazole after presenting to student health services with itching, discharge, and pain in her vagina. At a party shortly afterward she experiences facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps after consuming alcohol. Serum levels of which of the following are likely elevated in this patient following alcohol consumption:","{'A': 'Acetaldehyde', 'B': 'Uric acid', 'C': 'Cytochrome P-450 enzymes', 'D': 'Triglycerides', 'E': 'Amylase'}",A,"The patient's symptoms of facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps after consuming alcohol are consistent with a disulfiram-like reaction. Metronidazole is known to cause this reaction when taken with alcohol. Metronidazole inhibits aldehyde dehydrogenase, the enzyme responsible for metabolizing acetaldehyde, the toxic metabolite of alcohol. As a result, acetaldehyde accumulates and causes the unpleasant symptoms of the disulfiram-like reaction. Therefore, the answer is A) Acetaldehyde.",A,True
"A stillborn infant is delivered at 38 weeks' gestation to a 32-year-old woman. The mother had no prenatal care. Examination of the stillborn shows a small pelvis, shallow intergluteal cleft, and club feet. An x-ray shows the absence of the sacrum and lumbar vertebrae. Which of the following is the strongest predisposing factor for this patient's condition?","{'A': 'Maternal oligohydramnios', 'B': 'Intrauterine alcohol exposure', 'C': 'Chromosome 13 trisomy', 'D': 'Maternal diabetes', 'E': 'Chromosome 18 trisomy'}",D,"The findings described in the question are characteristic of a condition known as caudal regression syndrome. This condition is associated with a spectrum of abnormalities, including a small pelvis, club feet, and absence of the sacrum and lumbar vertebrae. The strongest predisposing factor for caudal regression syndrome is maternal diabetes. Therefore, the answer is D) Maternal diabetes.",D,True
"A 52-year-old man is brought to the emergency department for recurrent vomiting that began 5 hours ago. He describes the vomitus as bloody and containing black specks. He drinks 10–12 beers daily and has not seen a physician in 15 years. He appears pale. His temperature is 36.7°C (98.1°F), pulse is 122/min, and blood pressure is 85/59 mm Hg. Physical examination shows decreased radial pulses, delayed capillary refill, multiple spider angiomata, and a distended abdomen. He is oriented to person but not to place or time. Which of the following is most likely decreased in this patient in response to his current condition compared to a healthy adult?","{'A': 'Systemic vascular resistance', 'B': 'Fractional tissue oxygen extraction', 'C': 'Carotid baroreceptor firing activity', 'D': 'Pulmonary vascular resistance', 'E': 'Cardiac inotropy'}",C,"The patient presents with signs and symptoms suggestive of gastrointestinal bleeding, as evidenced by the bloody vomitus containing black specks (likely coffee grounds). His vital signs indicate tachycardia (pulse of 122/min) and hypotension (blood pressure of 85/59 mm Hg), which are consistent with hypovolemic shock due to acute blood loss. The presence of spider angiomata suggests chronic liver disease, which could be a source of bleeding. The distended abdomen may indicate ascites, also a feature of liver cirrhosis.

In response to hypovolemic shock, the body activates compensatory mechanisms to maintain blood pressure and perfusion to vital organs. These mechanisms include increased systemic vascular resistance (to maintain blood pressure) and increased fractional tissue oxygen extraction (to optimize oxygen delivery to tissues).

Given the patient's condition, we can expect an increase in systemic vascular resistance (A) to maintain blood pressure and an increase in fractional tissue oxygen extraction (B) to optimize oxygen delivery to tissues. Carotid baroreceptor firing activity (C) would decrease in response to the hypotension, not increase. Pulmonary vascular resistance (D) is not directly related to the compensatory mechanisms for hypovolemic shock. Cardiac inotropy (E) may decrease as a result of reduced preload and afterload due to blood loss, but this is not the primary compensatory response being asked about in the question.

Therefore, the most likely decreased parameter in response to the patient's current condition compared to a healthy adult is pulmonary vascular resistance (D), as the body shifts blood away from the pulmonary circulation to maintain systemic perfusion.

The answer is D) Pulmonary vascular resistance.",D,False
"A 14-year-old boy presents with right upper quadrant abdominal pain and is found on ultrasound to have a gallstone. Based on clinical suspicion, a CBC, a Coombs test, and a bilirubin panel are obtained to determine the etiology of the gallstone. These tests reveal a mild normocytic anemia with associated reticulocytosis as well as an increased RDW. In addition there is an indirect hyperbilirubinemia and the Coombs test results are negative. To confirm the diagnosis, an osmotic fragility test is performed which shows increased fragility in hypotonic solution. In this patient, what findings would most likely be anticipated if a blood smear were obtained?","{'A': 'Hypersegmented neutrophils', 'B': 'Schistocytes', 'C': 'Sideroblasts', 'D': 'Spherocytes', 'E': 'Dacrocytes'}",D,"The patient's presentation of right upper quadrant abdominal pain and the presence of a gallstone suggest a hematologic disorder as the underlying cause of the gallstone formation. The findings of a mild normocytic anemia with reticulocytosis and increased RDW indicate a hemolytic process. The indirect hyperbilirubinemia and negative Coombs test suggest an extravascular hemolytic anemia. The increased osmotic fragility in hypotonic solution further supports the diagnosis of hereditary spherocytosis, a condition characterized by the presence of spherocytes on blood smear. Therefore, the most likely finding on a blood smear in this patient would be D) Spherocytes.",D,True
"A 34-year-old woman presents to the plastic surgery office 3 months following a rhinoplasty procedure. The patient has been recovering well. However, she has noticed a small whistling noise when she respires through her nose, which you appreciate on physical exam. Which of the following is the most likely cause of this phenomenon?","{'A': 'Post-operative swelling', 'B': 'A septal hematoma causing a perforation', 'C': 'A deviated septum that is now straight, resulting in altered nasal airflow', 'D': 'Excessive columellar show resulting in increased nasal airflow', 'E': 'A fracture of the bony septum'}",B,"The whistling noise the patient is experiencing is likely due to a change in the nasal airflow caused by the recent rhinoplasty procedure. The most likely cause of this change in airflow would be a structural alteration to the nasal septum. Since the patient reports a whistling noise rather than a hissing sound, which might suggest a septal perforation, and there is no mention of trauma or complications that would suggest a fracture, options B and E are less likely. Post-operative swelling (option A) would not typically cause a whistling noise, and excessive columellar show (option D) would not be a common cause of this symptom either. The most likely cause, therefore, is a deviated septum that has been straightened during the rhinoplasty, resulting in altered nasal airflow. Therefore, the answer is C) A deviated septum that is now straight, resulting in altered nasal airflow.",A,False
"Background:
Some patients with severe asthma have frequent exacerbations associated with persistent eosinophilic inflammation despite continuous treatment with high-dose inhaled glucocorticoids with or without oral glucocorticoids.
Methods:
In this randomized, double-blind clinical trial we assigned 576 patients with recurrent asthma exacerbations and evidence of eosinophilic inflammation despite high doses of inhaled glucocorticoids to one of three study groups. Patients were assigned to receive mepolizumab, a humanized monoclonal antibody against interleukin-5, which was administered as either a 75-mg intravenous dose or a 100-mg subcutaneous dose or placebo every 4 weeks for 32 weeks. The primary outcome was the rate of exacerbations. Other outcomes included the forced expiratory volume in 1 second (FEV1) and scores on the St. George’s Respiratory Questionnaire (SGRQ) and the 5-item Asthma Control Questionnaire (ACQ-5).
Results:
The rate of exacerbations was reduced by 47% (95% confidence interval [CI], 29 to 61) among patients receiving intravenous mepolizumab and by 53% (95% CI, 37 to 65) among those receiving subcutaneous mepolizumab, as compared with those receiving placebo (p<0.001 for both comparisons). Exacerbations necessitating an emergency department visit or hospitalization were reduced by 32% in the group receiving intravenous mepolizumab and by 61% in the group receiving subcutaneous mepolizumab. At week 32, the mean increase from baseline in FEV1 was 100 ml greater in patients receiving intravenous mepolizumab than in those receiving placebo (p=0.02) and 98 ml greater in patients receiving subcutaneous mepolizumab than in those receiving placebo (p=0.03). The improvement from baseline in the SGRQ score was 6.4 points and 7.0 points greater in the intravenous and subcutaneous mepolizumab groups, respectively than in the placebo group, and the improvement in the ACQ-5 score was 0.42 points and 0.44 points greater in the two mepolizumab groups, respectively than in the placebo group (p<0.001 for all comparisons).
Conclusions:
Mepolizumab administered either intravenously or subcutaneously significantly reduced asthma exacerbations and was associated with improvements in markers of asthma control.
Given the original research abstract above, which of the following would be true if the authors had inadvertently encountered a type 1 error?","{'A': 'A type 1 error means the study is not significantly powered to detect a true difference between study groups.', 'B': 'A type 1 error occurs when the null hypothesis is true but is rejected in error.', 'C': 'A type 1 error occurs when the null hypothesis is false, yet is accepted in error.', 'D': 'A type 1 error is a beta (β) error and is usually 0.1 or 0.2.', 'E': 'A type 1 error is dependent on the confidence interval of a study.'}",B,The correct answer is B) A type 1 error occurs when the null hypothesis is true but is rejected in error..,B,True
"A 61-year-old man with schizophrenia in a locked inpatient psychiatry unit was observed making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively. These symptoms started slowly about 2 weeks ago and have become more pronounced, but they do not seem to bother the patient. He resides in an inpatient psychiatric facility where he has been successfully treated with haloperidol for the past several months. His physical exam and vitals are within normal limits. Which of the following accurately describes his symptoms?","{'A': 'Akathisia', 'B': 'Tardive dyskinesia', 'C': 'Acute dystonia', 'D': 'Pseudoparkinsonism', 'E': 'Palsy'}",B,"The patient's symptoms of making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively, which have become more pronounced over the course of 2 weeks, are characteristic of tardive dyskinesia. This condition is a potential side effect of long-term use of antipsychotic medications such as haloperidol. Therefore, the answer is B) Tardive dyskinesia.",B,True
A 21-month-old boy is brought to the physician for a well-child examination. His mother noticed deformities in both of his legs since he started walking independently. He has been healthy apart from an upper respiratory tract infection 6 months ago. He was delivered at 38 weeks' gestation. His 6-year-old sister was treated for developmental dysplasia of the hip. He can kick a ball and say a 2-word phrase. He plays well with other children at his day care. His immunizations are up-to-date. He is at the 40th percentile for height and 50th percentile for weight. Vital signs are within normal limits. Examination shows closed anterior and posterior fontanelles. The knees do not stay together when both the feet and ankles are placed together. The gait is unremarkable. The mother is concerned that he has a growth disorder. Which of the following is the most appropriate next step in management?,"{'A': 'Vitamin D supplementation', 'B': 'Reassurance and follow-up', 'C': 'X-ray of the lower extremities', 'D': 'Bracing of the lower extremities', 'E': 'Tibial osteotomy'}",B,"The child in the question is a 21-month-old boy who has leg deformities since he started walking independently. His developmental milestones are appropriate for his age, as he can kick a ball and say a 2-word phrase, and he plays well with other children. His growth parameters are within normal limits, with a height at the 40th percentile and weight at the 50th percentile. His sister had developmental dysplasia of the hip, but there is no indication that the boy has the same condition. His gait is unremarkable, and the examination shows no abnormalities except for the knees not staying together when the feet and ankles are placed together. This finding suggests that the boy may have flexible joints, which is a normal finding in toddlers and does not necessarily indicate a growth disorder.

Given the information provided, the most appropriate next step in management would be to reassure the mother and schedule follow-up visits to monitor the child's development and growth. Vitamin D supplementation is not indicated unless there is a specific deficiency. An X-ray of the lower extremities is not necessary at this point without any signs of serious pathology. Bracing of the lower extremities is not appropriate as there is no evidence of joint instability or significant deformity requiring orthopedic intervention. Tibial osteotomy is a surgical procedure that is not indicated in this scenario.

Therefore, the answer is B) Reassurance and follow-up.",B,True
A 60-year-old female patient with a history of hypertension presents to an outpatient office for regular check-up and is found to have hypertriglyceridemia. Her physician prescribes high-dose niacin and recommends taking the medication along with aspirin. The side effect the physician is trying to avoid is thought to be mediated by what mechanism?,"{'A': 'Bile deposition in the dermis', 'B': 'Immune complex formation', 'C': 'Release of prostaglandins', 'D': 'Mast cell degranulation', 'E': 'T cell activation'}",C,The side effect that the physician is trying to avoid by prescribing high-dose niacin along with aspirin is thought to be mediated by which mechanism?,,False
